"Aerodespachos De El Salvador",\N,"","DNA","AERODESPACHOS","El Salvador"
"Aerodienst GmbH",\N,"","ADN","AERODIENST","Germany"
"Aerodinamica de Monterrey",\N,"","DMC","DINAMICAMONT","Mexico"
"Aerodin",\N,"","DIN","AERODIN","Mexico"
"Aerodiplomatic",\N,"","ADP","AERODIPLOMATIC","Mexico"
"Aerodromo De La Mancha",\N,"","MAM","AEROMAN","Spain"
"Aerodynamics Incorporated",\N,"","DNJ","DYNAJET","United States"
"Aero Dynamics",\N,"","ADL","COTSWOLD","United Kingdom"
"Aero Dynamics",\N,"","DYN","AERO DYNAMIC","United States"
"Aerodyne Charter Company",\N,"","AQZ","QUANZA","United States"
"Aerodyne",\N,"","ADY","AERODYNE","United States"
"Aeroejecutiva Nieto",\N,"","NIE","AERONIETO","Mexico"
"Aero Ejecutivo De Baja California",\N,"","EBC","CALIXJET","Mexico"
"Aeroejecutivo",\N,"","AJO","AEROEXO","Mexico"
"Aeroejecutivos Colombia",\N,"","AJS","AEROEJECUTIVOS","Colombia"
"Aero Ejecutivos",\N,"","VEJ","VENEJECUTIV","Venezuela"
"Aero Ejecutivos RCG",\N,"","ECG","EJECTUIVOS RCG","Mexico"
"Aeroel Airways",\N,"","ROL","AEROEL","Israel"
"Aero Empresa Mexicana",\N,"","AFO","AERO EMPRESA","Mexico"
"Aero Empresarial",\N,"","EPE","AEROEMPRESARIAL","Mexico"
"Aeroenlaces Nacionales",\N,"","AEN","","Mexico"
"Aeroenlaces Nacionales",\N,"","VIV","AEROENLACES","Mexico"
"Aero Entreprise",\N,"","AON","AERO ENTERPRISE","France"
"Aero Ermes",\N,"","EOM","AERO ERMES","Mexico"
"Aeroeste",\N,"","ROE","ESTE-BOLIVIA","Bolivia"
"Aeroexpreso Interamericano",\N,"","AEI","INTERAM","Colombia"
"Aero Express Intercontinental",\N,"","XSS","INTER EXPRESS","Mexico"
"Aerofan",\N,"","CFF","AEROFAN","Spain"
"Aero Fenix",\N,"","FNX","AERO FENIX","France"
"Aeroferinco",\N,"","FEO","FERINCO","Mexico"
"Aero Flight",\N,"GV","ARF","Aero Fox","Germany"
"Aero Flight Service",\N,"","AGY","FLIGHT GROUP","United States"
"Aeroflota Del Noroeste",\N,"","FNO","RIAZOR","Spain"
"Aeroflot-Cargo",\N,"","RCF","AEROFLOT-CARGO","Russia"
"Aeroflot-Don",\N,"D9","DNV","DONAVIA","Russia"
"Aeroflot",\N,\N,\N,\N,\N
"Aeroflot-Nord",\N,"5N","AUL","DVINA","Russia"
"Aeroflot Russian Airlines",\N,"SU","AFL","AEROFLOT","Russia"
"Aeroflot (Soviet)",\N,\N,\N,\N,\N
"Aerofreight Airlines",\N,"","FRT","","Russia"
"Aero Freight",\N,"","FGT","FREIAERO","Mexico"
"Aerofrisco",\N,"","FCO","AEROFRISCO","Mexico"
"Aerofumigaciones Sam",\N,"","AEG","FUMIGACIONES SAM","Chile"
"Aerogala",\N,"","AGQ","GALASERVICE","Chile"
"Aerogal",\N,\N,\N,\N,\N
"Aero Gambia",\N,"","AGW","AERO GAMBIA","Gambia"
"Aerogaucho",\N,"","GAU","AEROGAUCHO","Uruguay"
"Aerogem Cargo",\N,"","GCK","AEROGEM","Ghana"
"Aero Gen",\N,"","ROH","AEROGEN","Mexico"
"Aerogisa",\N,"","OGI","AEROGISA","Mexico"
"Aerogroup 98 Limited",\N,"","RWY","TYNWALD","United Kingdom"
"Aerohein",\N,"","HEI","AEROHEIN","Chile"
"Aero Homex",\N,"","HOM","AERO HOMEX","Mexico"
"Aero Industries Inc",\N,"","WAB","WABASH","United States"
"Aeroingenieria",\N,"","ING","AEROINGE","Chile"
"Aero International",\N,"","INA","AERO-NACIONAL","Mexico"
"Aeroitalia",\N,"","ROO","AEROITALIA","Italy"
"Aerojal",\N,"","JAD","AEROJAL","Mexico"
"Aero JBR",\N,"","AJB","AERO JBR","Mexico"
"Aerojet de Costa Rica",\N,"","ARJ"," S.A.",""
"Aero Jet Express",\N,"","AJE","JET EXPRESS","Mexico"
"Aero Jets Corporativos",\N,"","AJP","AEROJETS","Mexico"
"Aerojobeni",\N,"","JOB","JOBENI","Mexico"
"Aero Jomacha",\N,"","MHC","AERO JOMACHA","Mexico"
"Aero Juarez",\N,"","JUA","JUAREZ","Mexico"
"Aerokaluz",\N,"","KLZ","AEROKALUZ","Mexico"
"Aero-Kamov",\N,"","MSV","AERAFKAM","Russia"
"Aerokuzbass",\N,"","NKZ","NOVOKUZNETSK","Russia"
"Aerolaguna",\N,"","LGN","AEROLAGUNA","Mexico"
"Aeroland Airways",\N,"3S","","","Greece"
"Aerolane",\N,"XL","LNE","LAN ECUADOR","Ecuador"
"Aero Lanka",\N,"QL","RLN","AERO LANKA","Sri Lanka"
"Aero Lider",\N,"","LDR","AEROLIDER","Mexico"
"Aerolift Company",\N,"","LFT","LIFTCO","Sierra Leone"
"Aerolima",\N,"","LMA","AEROLIMA","Mexico"
"Aerolinas Argentina",\N,\N,\N,\N,\N
"Aerolinea Muri",\N,"","MUR","MURI","Mexico"
"Aerolineas Aereas Ejecutivas De Durango",\N,"","LDG","DURANGO","Mexico"
"Aerolineas Amanecer",\N,"","MNE","AEROAMANECER","Mexico"
"Aerolineas Argentinas",\N,"AR","ARG","ARGENTINA","Argentina"
"Aerolineas Bonanza",\N,"","BNZ","AERO BONANZA","Mexico"
"Aerolineas Chihuahua",\N,"","PFI","PACIFICO CHIHUAHUA","Mexico"
"Aerolineas Comerciales",\N,"","ECM","AERO COMERCIALES","Mexico"
"Aerolineas De El Salvador",\N,"","SZA","AESA","El Salvador"
"Aerolineas Del Pacifico",\N,"","RPC","AEROPACSA","Ecuador"
"Aerolineas Del Sureste",\N,"","SUE","AEROSURESTE","Mexico"
"Aerolineas Del Sur",\N,"","DLU","DEL SUR","Chile"
"Aerolineas De Morelia",\N,"","MOR","AEROMORELIA","Mexico"
"Aerolineas Dominicanas",\N,"","ADM","DOMINAIR","Dominican Republic"
"Aerolineas Ejecutivas Del Sureste",\N,"","ESU","ALESUR","Mexico"
"Aerolineas Ejecutivas",\N,"","LET","MEXEJECUTIV","Mexico"
"Aerolineas Ejecutivas Tarascas",\N,"","RSC","TARASCAS","Mexico"
"Aerolineas Galapagos (Aerogal)",\N,"2K","GLG","AEROGAL","Ecuador"
"Aerolineas Internacionales",\N,"","LNT","LINEAINT","Mexico"
"Aerolineas Marcos",\N,"","MCO","MARCOS","Mexico"
"Aerolineas Medellin",\N,"","AMD","AEROLINEAS MEDELLIN","Colombia"
"Aerolineas Mexicanas J S",\N,"","LMX","LINEAS MEXICANAS","Mexico"
"Aerolineas Nacionales Del Ecuador",\N,"","EDA","ANDES","Ecuador"
"Aerolineas Olve",\N,"","OLV","OLVE","Mexico"
"Aerolineas Pacifico Atlantico",\N,"","APP"," S.A. (Apair)","AEROPERLAS"
"Aerolineas Regionales",\N,"","RCQ","REGIONAL CARGO","Mexico"
"Aerolineas Sol",\N,"","SOD","ALSOL","Mexico"
"Aerolineas Sosa",\N,"","NSO","SOSA","Honduras"
"Aerolineas Turisticas del Caribe",\N,"","TTB","AERO TURISTICAS","Mexico"
"Aerolineas Uruguayas",\N,"","AUY"," S.A.","AUSA"
"Aerolineas Villaverde",\N,"","VLR","VILLAVERDE","Mexico"
"Aeroline GmbH",\N,"7E","AWU","SYLT-AIR","Germany"
"Aero Link Air Services S.L.",\N,"","ARK","LINK SERVICE","Spain"
"Aerolitoral",\N,"5D","SLI","COSTERA","Mexico"
"Aero Lloyd",\N,\N,\N,\N,\N
"AeroLloyd",\N,\N,\N,\N,\N
"Aerolínea de Antioquia",\N,"","ANQ","ANTIOQUIA","Colombia"
"Aerolíneas Mesoamericanas",\N,"","MSO","MESO AMERICANAS","Mexico"
"Aerologic",\N,"","LDL","","Russia"
"Aeromaan",\N,"","ERM","EOMAAN","Mexico"
"Aero Madrid",\N,"","AEM","AEROMADRID","Spain"
"Aeromagar",\N,"","MGS","AEROMAGAR","Mexico"
"Aeromarket Express",\N,"","ARM","AMEX","Spain"
"Aeromar",\N,"BQ","ROM","BRAVO QUEBEC","Dominican Republic"
"Aeromar",\N,"VW","TAO","TRANS-AEROMAR","Mexico"
"Aeromas",\N,"","MSM","AEROMAS EXPRESS","Uruguay"
"Aeromax",\N,"","AXP","AEROMAX SPAIN","Spain"
"Aero McFly",\N,"","MFL","MCFLY","Mexico"
"Aeromedica",\N,"","DIC","AEROMEDICA","Mexico"
"Aeromedicare Ltd.",\N,"","AMQ","LIFELINE","United Kingdom"
"Aeromega",\N,"","OMG","OMEGA","United Kingdom"
"Aeromet Linea Aerea",\N,"","MTE","AEROMET","Chile"
"Aeromet Servicios",\N,"","ARS","METSERVICE","Chile"
"Aeromexhaga",\N,"","AXH","AEROMEXHAGA","Mexico"
"Aeromexico",\N,\N,\N,\N,\N
"Aeromexpress",\N,"QO","MPX","AEROMEXPRESS","Mexico"
"Aeromilenio",\N,"","MNI","AEROMIL","Mexico"
"Aeromist-Kharkiv",\N,"HT","AHW","AEROMIST","Ukraine"
"Aero Modelo",\N,"","DLS","AEROMODELO","Mexico"
"Aero Mongolia",\N,"","MNG","AERO MONGOLIA","Mongolia"
"Aeromorelos",\N,"","MRL","AEROMORELOS","Mexico"
"Aeromover",\N,"","OVE","AEROMOVER","Mexico"
"Aeromundo Ejecutivo",\N,"","MUN","AEROMUNDO","Mexico"
"Aeroméxico",\N,"AM","AMX","AEROMEXICO","Mexico"
"Aeronautica Castellana",\N,"","ECL","AERO CASTELLANA","Spain"
"Aeronautical Academy of Europe",\N,"","EVR","DIANA","Portugal"
"Aeronautica Le Esperanza",\N,"","ESZ","ESPERANZA","Mexico"
"Aeronautical Radio Inc",\N,"","XAA","","United States"
"Aeronautical Radio of Thailand",\N,"","AET","AEROTHAI","Thailand"
"Aeronautica",\N,"","GGL","GIRA GLOBO","Angola"
"Aeronaves Del Centro",\N,"","AGA","","Venezuela"
"Aeronaves Del Noreste",\N,"","DRO","AERONORESTE","Mexico"
"Aeronaves Del Noroeste",\N,"","ENW","AERONOR","Spain"
"Aeronaves TSM",\N,"","VTM","AERONAVES TSM","Mexico"
"Aeronavigaciya",\N,"","KTN","AERONAVIGACIYA","Ukraine"
"Aeronem Air Cargo",\N,"","RNM","AEROMNEM","Ecuador"
"Aeroni",\N,"","NID","AERONI","Mexico"
"Aeron International Airlines",\N,"","AXI"," Inc.","AIR FREIGHTER"
"Aeronord-Grup",\N,"","NRP","AERONORD","Moldova"
"Aeronor",\N,"","GCF","AEROCARTO","Spain"
"Aero Norte",\N,"","NTD","","Mexico"
"Aeronorte",\N,"","RTE","LUZAVIA","Portugal"
"Aero-North Aviation Services",\N,"","SKP","SKIPPER","Canada"
"Aero Nova",\N,"","OVA","AERONOVA","Spain"
"Aeropac",\N,"","STK","SAT PAK","United States"
"Aeropelican Air Services",\N,"OT","PEL","PELICAN","Australia"
"Aeroperlas",\N,\N,\N,\N,\N
"Aeroperú",\N,"PL","PLI","Aeroperu","Peru"
"Aero Personal",\N,"","PNL","AEROPERSONAL","Mexico"
"Aeropiloto",\N,"","AOP","AEROPILOTO","Portugal"
"Aeropostal Cargo de Mexico",\N,"","PCG","POSTAL CARGO","Mexico"
"Aeropostal",\N,\N,\N,\N,\N
"Aero Premier De Mexico",\N,"","MIE","AEROPREMIER","Mexico"
"Aeropro",\N,"","APO","AEROPRO","Canada"
"Aeropublicitaria De Angola",\N,"","MOP","PUBLICITARIA","Angola"
"Aeropuelche",\N,"","PUE","PUELCHE","Chile"
"Aeropuma",\N,"","APU"," S.A.","AEROPUMA"
"Aeroput",\N,"","PUT","","Serbia"
"Aeroputul International Marculesti",\N,"","AMM","AEROM","Moldova"
"Aeropycsa",\N,"","PYC","AEROPYCSA","Mexico"
"Aero-Pyrenees",\N,"","EAP","AERO-PYRENEES","France"
"Aero Quimmco",\N,"","QUI","QUIMMCO","Mexico"
"Aero Renta De Coahuila",\N,"","RCO","AEROCOAHUILA","Mexico"
"Aero Rent JSC",\N,"","NRO","AEROMASTER","Russia"
"Aero-Rent",\N,"","REN","AERORENT","Mexico"
"AeroRepública",\N,"P5","RPB","AEROREPUBLICA","Colombia"
"Aero-Rey",\N,"","REY","AEROREY","Mexico"
"Aero Roca",\N,"","RRC","AEROROCA","Mexico"
