# airline	from	to	codeshare	stops	equipment
# Date: 2009-12-07
3H	YQC	YWB		0	DH8
3H	YSK	YGW		0	DHT
3H	YTQ	YPJ		0	DHT DH8 BE1
3H	YTQ	YVP		0	DHT DH8
3H	YUD	YGW		0	DH8
3H	YUD	YPH		0	DH8
3H	YUL	YGL		0	DH8
3H	YUL	YGW		0	DH8
3H	YUL	YQB		0	DH8
3H	YVP	XGR		0	DHT BET
3H	YVP	YKG		0	DH8
3H	YVP	YKL		0	DH8 BE1
3H	YVP	YPH		0	BE1
3H	YVP	YPX		0	BE1
3H	YVP	YTQ		0	DHT DH8 BE1
3H	YWB	YQC		0	DH8
3H	YWB	YZG		0	DH8
3H	YWK	YKL		0	BE1
3H	YWK	YZV		0	BE1
3H	YZG	YIK		0	DHT
3H	YZG	YPX		0	DH8
3H	YZG	YWB		0	DH8
3H	YZV	YKL		0	BE1
3H	YZV	YWK		0	BE1
3K	BKI	SIN		0	320
3K	BKK	SIN		0	320
3K	HKG	SIN		0	320
3K	KCH	SIN		0	320
3K	KUL	SIN		0	320
3K	MFM	SIN		0	320
3K	MNL	SIN		0	320
3K	PEN	SIN		0	320
3K	PNH	SIN		0	320
3K	REP	PNH		0	320
3K	RGN	SIN		0	320
3K	SGN	SIN		0	320
3K	SIN	BKI		0	320
3K	SIN	BKK		0	320
3K	SIN	HKG		0	320
3K	SIN	KCH		0	320
3K	SIN	KUL		0	320
3K	SIN	MFM		0	320
3K	SIN	MNL		0	320
3K	SIN	PEN		0	320
3K	SIN	PNH		0	320
3K	SIN	REP		0	320
3K	SIN	RGN		0	320
3K	SIN	SGN		0	320
3K	SIN	TPE		0	320
3K	TPE	SIN		0	320
3L	CGN	FDH		0	DH3
3L	DRS	FDH		0	DH3
3L	FDH	CGN		0	DH3
3L	FDH	DRS		0	DH3
3L	FDH	FMO		0	DH3
3L	FDH	GRZ		0	DH3
3L	FDH	HAM		0	DH3
3L	FDH	TXL		0	DH3
3L	FDH	VIE		0	DH3
3L	FMO	FDH		0	DH3
3L	GRZ	FDH		0	DH3
3L	GRZ	TXL		0	DH3
3L	HAM	FDH		0	DH3
3L	TXL	FDH		0	DH3
3L	TXL	GRZ		0	DH3
3L	VIE	FDH		0	DH3
3M	DUJ	FKL		0	BE1
3O	AMS	CMN		0	320
3O	BCN	CMN		0	320
3O	BGY	CMN		0	320
3O	BLQ	CMN		0	320
3O	CDG	CMN		0	320
3O	CMN	AMS		0	320
3O	CMN	BCN		0	320
3O	CMN	BGY		0	320
3O	CMN	BLQ		0	320
3O	CMN	CDG		0	320
3O	CMN	CRL		0	320
3O	CMN	LYS		0	320
3O	CMN	MRS		0	320
3O	CMN	SAW		0	320
3O	CMN	TSF		0	320
3O	CRL	CMN		0	320
3O	LYS	CMN		0	320
3O	MRS	CMN		0	320
3O	SAW	CMN		0	320
3O	TSF	CMN		0	320
3P	AUA	BON		0	SH6
3P	AUA	CUR		0	SH6
3P	AUA	LSP		0	SH6
3P	AUA	RCH		0	SH6
3P	BON	AUA		0	SH6
