"Maniwaki","Maniwaki","Canada","YMW","CYMW",-75.990556,46.272778,656,-5,"A"
"Montreal Intl Mirabel","Montreal","Canada","YMX","CYMX",-74.005278,45.681944,270,-5,"A"
"Natashquan","Natashquan","Canada","YNA","CYNA",-61.789167,50.19,39,-4,"A"
"Gatineau","Gatineau","Canada","YND","CYND",-75.563589,45.521694,211,-5,"A"
"Matagami","Matagami","Canada","YNM","CYNM",-77.802778,49.761667,918,-5,"A"
"Old Crow","Old Crow","Canada","YOC","CYOC",-139.839167,67.570556,824,-8,"A"
"Cold Lake","Cold Lake","Canada","YOD","CYOD",-110.279444,54.404999,1775,-7,"A"
"High Level","High Level","Canada","YOJ","CYOJ",-117.164722,58.621389,1110,-7,"A"
"Ottawa Macdonald Cartier Intl","Ottawa","Canada","YOW","CYOW",-75.669167,45.3225,374,-5,"A"
"Prince Albert Glass Field","Prince Albert","Canada","YPA","CYPA",-105.672778,53.214167,1405,-6,"A"
"Peace River","Peace River","Canada","YPE","CYPE",-117.447222,56.226944,1873,-7,"A"
"Southport","Portage-la-prairie","Canada","YPG","CYPG",-98.273889,49.903056,885,-6,"A"
"Pitt Meadows","Pitt Meadows","Canada","","CYPK",-122.71,49.21611,11,-8,"A"
"Pickle Lake","Pickle Lake","Canada","YPL","CYPL",-90.214167,51.446388,1267,-6,"A"
"Port Menier","Port Menier","Canada","YPN","CYPN",-64.288611,49.836389,167,-5,"A"
"Peterborough","Peterborough","Canada","YPQ","CYPQ",-78.363333,44.23,628,-5,"A"
"Prince Rupert","Prince Pupert","Canada","YPR","CYPR",-130.444722,54.28611,116,-8,"A"
"Fort Chipewyan","Fort Chipewyan","Canada","YPY","CYPY",-111.117222,58.767223,761,-7,"A"
"Muskoka","Muskoka","Canada","YQA","CYQA",-79.303333,44.974722,925,-5,"A"
"Quebec Jean Lesage Intl","Quebec","Canada","YQB","CYQB",-71.393333,46.791111,244,-5,"A"
"Red Deer Regional","Red Deer Industrial","Canada","YQF","CYQF",-113.894444,52.182222,2968,-7,"A"
"Windsor","Windsor","Canada","YQG","CYQG",-82.955556,42.275556,622,-5,"A"
"Watson Lake","Watson Lake","Canada","YQH","CYQH",-128.8225,60.116389,2255,-8,"A"
"Kenora","Kenora","Canada","YQK","CYQK",-94.363056,49.788334,1332,-6,"A"
