# airline	from	to	codeshare	stops	equipment
# Date: 2010-08-20
3S	SFG	PTP		0	AT5
3S	SLU	FDF		0	AT5
3T	BJV	GYD		0	757
3T	DME	GYD		0	757
3T	GYD	BJV		0	757
3T	GYD	DME		0	757
3T	GYD	MRV		0	TU5
3T	GYD	SGC		0	TU5
3T	GYD	SVX		0	TU5
3T	MRV	GYD		0	TU5
3T	SGC	GYD		0	TU5
3T	SVX	GYD		0	TU5
3U	CAN	CKG		0	319 320
3U	CAN	CTU		0	319 320 321
3U	CGO	CGQ		0	319
3U	CGO	CKG		0	ERJ
3U	CGO	CTU		0	319
3U	CGO	HGH		0	320 319
3U	CGO	HRB		0	320
3U	CGO	KMG		0	320
3U	CGO	SJW		0	ERJ
3U	CGO	URC		0	319
3U	CGQ	CGO		0	319
3U	CGQ	SJW		0	319
3U	CGQ	TNA		0	320
3U	CGQ	XUZ		0	ERJ
3U	CKG	CAN		0	320 319
3U	CKG	CGO		0	ERJ
3U	CKG	CSX		0	320
3U	CKG	DLC		0	320
3U	CKG	HAK		0	320
3U	CKG	HGH		0	320
3U	CKG	INC		0	319
3U	CKG	JZH		0	319
3U	CKG	KGT		0	319
3U	CKG	KHN		0	319
3U	CKG	KMG		0	320
3U	CKG	KWL		0	319
3U	CKG	LJG		0	319
3U	CKG	LXA		0	319
3U	CKG	NGB		0	319
3U	CKG	NKG		0	319
3U	CKG	PEK		0	320 319
3U	CKG	PVG		0	320 319
3U	CKG	SJW		0	ERJ
3U	CKG	SYX		0	320
3U	CKG	SZX		0	320
3U	CKG	TNA		0	320
3U	CKG	TSA		0	320
3U	CKG	URC		0	320
3U	CKG	WNZ		0	319
3U	CKG	WUX		0	320 319
3U	CKG	XIY		0	319
3U	CKG	XNN		0	320
3U	CKG	XUZ		0	ERJ
3U	CKG	YIH		0	320
3U	CSX	CKG		0	320
3U	CSX	CTU		0	321
3U	CSX	FOC		0	321
3U	CSX	XMN		0	320
3U	CTU	CAN		0	319 321 320
3U	CTU	CGO		0	319
3U	CTU	CSX		0	321
3U	CTU	DIG		0	319
3U	CTU	HAK		0	321
3U	CTU	HET		0	320
3U	CTU	HFE		0	319 320
3U	CTU	HGH		0	320
3U	CTU	HKG		0	320
3U	CTU	ICN		0	320
3U	CTU	INC		0	320
3U	CTU	JZH		0	319
3U	CTU	KHN		0	321
3U	CTU	KMG		0	320 321
3U	CTU	KWE		0	319
3U	CTU	KWL		0	321
3U	CTU	LHW		0	319
3U	CTU	LJG		0	319
3U	CTU	LXA		0	319
3U	CTU	LYI		0	320
3U	CTU	MLE		0	330
3U	CTU	NKG		0	321
3U	CTU	NNG		0	321
3U	CTU	PEK		0	321 320 330
3U	CTU	PVG		0	330 321
3U	CTU	PZI		0	319
3U	CTU	SHA		0	319
3U	CTU	SHE		0	319
3U	CTU	SJW		0	319
3U	CTU	SYX		0	330
3U	CTU	SZX		0	320 321
3U	CTU	TAO		0	321
3U	CTU	TNA		0	321 320
3U	CTU	TSA		0	321
3U	CTU	TSN		0	320
3U	CTU	TYN		0	320
3U	CTU	URC		0	330
3U	CTU	WNZ		0	321
3U	CTU	WUH		0	319
3U	CTU	WUX		0	320
3U	CTU	XIC		0	320
3U	CTU	XIY		0	321
3U	CTU	XMN		0	321
3U	CTU	XNN		0	320
3U	CTU	XUZ		0	319
3U	CTU	YIH		0	320
3U	DIG	CTU		0	319
3U	DLC	CKG		0	320
3U	DLC	HGH		0	320
3U	DLC	HRB		0	320
3U	DLC	TNA		0	321
3U	DLC	XUZ		0	319
3U	DSN	SJW		0	ERJ
3U	DYG	CKG		0	319
