"   52" "Edson Airport" "Edson" "Canada" "YET" "CYET" " 53.5788994" "-116.464996" " 3043" " -7.00" "A" "airport" "OurAirports" "America/Edmonton"
"   53" "Eureka Airport" "Eureka" "Canada" "YEU" "CYEU" " 79.9946976" " -85.814201" "  256" " -6.00" "A" "airport" "OurAirports" "America/Rankin_Inlet"
"   54" "Inuvik Mike Zubko Airport" "Inuvik" "Canada" "YEV" "CYEV" " 68.3041992" "-133.483002" "  224" " -7.00" "A" "airport" "OurAirports" "America/Inuvik"
"   55" "Iqaluit Airport" "Iqaluit" "Canada" "YFB" "CYFB" " 63.7564011" " -68.555801" "  110" " -5.00" "A" "airport" "OurAirports" "America/Iqaluit"
"   56" "Fredericton Airport" "Fredericton" "Canada" "YFC" "CYFC" " 45.8689003" " -66.537201" "   68" " -4.00" "A" "airport" "OurAirports" "America/Moncton"
"   57" "Forestville Airport" "Forestville" "Canada" NA "CYFE" " 48.7461014" " -69.097198" "  293" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   58" "Flin Flon Airport" "Flin Flon" "Canada" "YFO" "CYFO" " 54.6781006" "-101.681999" "  997" " -6.00" "A" "airport" "OurAirports" "America/Winnipeg"
"   59" "Fort Resolution Airport" "Fort Resolution" "Canada" "YFR" "CYFR" " 61.1808014" "-113.690002" "  526" " -7.00" "A" "airport" "OurAirports" "America/Yellowknife"
"   60" "Fort Simpson Airport" "Fort Simpson" "Canada" "YFS" "CYFS" " 61.7602005" "-121.237000" "  555" " -7.00" "A" "airport" "OurAirports" "America/Yellowknife"
"   61" "Kingston Norman Rogers Airport" "Kingston" "Canada" "YGK" "CYGK" " 44.2252998" " -76.596901" "  305" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"   62" "La Grande Rivière Airport" "La Grande Riviere" "Canada" "YGL" "CYGL" " 53.6253014" " -77.704201" "  639" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   63" "Gaspé (Michel-Pouliot) Airport" "Gaspe" "Canada" "YGP" "CYGP" " 48.7752991" " -64.478600" "  112" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   64" "Geraldton Greenstone Regional Airport" "Geraldton" "Canada" "YGQ" "CYGQ" " 49.7783012" " -86.939400" " 1144" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"   65" "Îles-de-la-Madeleine Airport" "Iles De La Madeleine" "Canada" "YGR" "CYGR" " 47.4247017" " -61.778099" "   35" " -5.00" "A" "airport" "OurAirports" "America/Halifax"
"   66" "Hudson Bay Airport" "Hudson Bay" "Canada" "YHB" "CYHB" " 52.8167000" "-102.310997" " 1175" " -6.00" "N" "airport" "OurAirports" "America/Regina"
"   67" "Dryden Regional Airport" "Dryden" "Canada" "YHD" "CYHD" " 49.8316994" " -92.744202" " 1354" " -6.00" "A" "airport" "OurAirports" "America/Winnipeg"
"   68" "Ulukhaktok Holman Airport" "Holman Island" "Canada" "YHI" "CYHI" " 70.7628021" "-117.806000" "  117" " -7.00" "A" "airport" "OurAirports" "America/Yellowknife"
"   69" "Gjoa Haven Airport" "Gjoa Haven" "Canada" "YHK" "CYHK" " 68.6355972" " -95.849701" "  152" " -7.00" "A" "airport" "OurAirports" "America/Cambridge_Bay"
"   70" "John C. Munro Hamilton International Airport" "Hamilton" "Canada" "YHM" "CYHM" " 43.1735992" " -79.934998" "  780" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"   71" "Montréal / Saint-Hubert Airport" "Montreal" "Canada" "YHU" "CYHU" " 45.5175018" " -73.416901" "   90" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   72" "Hay River / Merlyn Carter Airport" "Hay River" "Canada" "YHY" "CYHY" " 60.8396988" "-115.782997" "  541" " -7.00" "A" "airport" "OurAirports" "America/Yellowknife"
"   73" "Halifax / Stanfield International Airport" "Halifax" "Canada" "YHZ" "CYHZ" " 44.8807983" " -63.508598" "  477" " -4.00" "A" "airport" "OurAirports" "America/Halifax"
"   74" "Atikokan Municipal Airport" "Atikokan" "Canada" "YIB" "CYIB" " 48.7738991" " -91.638603" " 1408" " -5.00" "A" "airport" "OurAirports" "America/Atikokan"
"   75" "Pond Inlet Airport" "Pond Inlet" "Canada" "YIO" "CYIO" " 72.6832962" " -77.966698" "  181" " -5.00" "A" "airport" "OurAirports" "America/Iqaluit"
"   76" "St Jean Airport" "St. Jean" "Canada" "YJN" "CYJN" " 45.2943993" " -73.281097" "  136" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   77" "Stephenville Airport" "Stephenville" "Canada" "YJT" "CYJT" " 48.5442009" " -58.549999" "   84" " -3.50" "A" "airport" "OurAirports" "America/St_Johns"
"   78" "Kamloops Airport" "Kamloops" "Canada" "YKA" "CYKA" " 50.7022018" "-120.444000" " 1133" " -8.00" "A" "airport" "OurAirports" "America/Vancouver"
"   79" "Waterloo Airport" "Waterloo" "Canada" "YKF" "CYKF" " 43.4608002" " -80.378601" " 1055" " -5.00" "A" "airport" "OurAirports" "America/Toronto"
"   80" "Schefferville Airport" "Schefferville" "Canada" "YKL" "CYKL" " 54.8053017" " -66.805298" " 1709" " -5.00" "A" "airport" "OurAirports" "America/Montreal"
"   81" "Kindersley Airport" "Kindersley" "Canada" "YKY" "CYKY" " 51.5175018" "-109.181000" " 2277" " -6.00" "N" "airport" "OurAirports" "America/Regina"
