# airline	from	to	codeshare	stops	equipment
# Date: 2011-01-20
3H	YSK	YGW		0	DH8 DHT
3H	YSK	YUD		0	DH8
3H	YTQ	YPJ		0	DHT DH8 BET
3H	YTQ	YVP		0	DHT DH8
3H	YUD	YGW		0	DH8
3H	YUD	YPH		0	DH8
3H	YUD	YSK		0	DH8
3H	YUL	YGL		0	73M DH8
3H	YUL	YGW		0	DH8
3H	YUL	YQB		0	DH8
3H	YVP	XGR		0	DHT BET
3H	YVP	YKG		0	DH8
3H	YVP	YKL		0	DH8 BET
3H	YVP	YPH		0	BET
3H	YVP	YPX		0	BET
3H	YVP	YTQ		0	DHT DH8 BET
3H	YWB	YQC		0	DH8
3H	YWB	YZG		0	DH8
3H	YWK	YKL		0	BET
3H	YWK	YZV		0	BET
3H	YZG	YIK		0	DH8
3H	YZG	YPX		0	DH8
3H	YZG	YWB		0	DH8
3H	YZV	YKL		0	BET
3H	YZV	YWK		0	BET
3K	BKI	SIN		0	320
3K	BKK	SIN		0	320
3K	HAK	SIN		0	320
3K	HKG	SIN		0	320
3K	HKT	SIN		0	320
3K	KIX	TPE		0	320
3K	KUL	SIN		0	320
3K	KWL	SIN		0	320
3K	MFM	SIN		0	320
3K	MNL	SIN		0	320
3K	PEN	SIN		0	320
3K	PER	SIN		0	320
3K	PNH	SIN		0	320
3K	REP	PNH		0	320
3K	RGN	SIN		0	320
3K	SGN	SIN		0	320
3K	SIN	BKI		0	320
3K	SIN	BKK		0	320
3K	SIN	HAK		0	320
3K	SIN	HKG		0	320
3K	SIN	HKT		0	320
3K	SIN	KUL		0	320
3K	SIN	KWL		0	320
3K	SIN	MFM		0	320
3K	SIN	MNL		0	320
3K	SIN	PEN		0	320
3K	SIN	PER		0	320
3K	SIN	PNH		0	320
3K	SIN	REP		0	320
3K	SIN	RGN		0	320
3K	SIN	SGN		0	320
3K	SIN	SWA		0	320
3K	SIN	TPE		0	320
3K	SWA	SIN		0	320
3K	TPE	KIX		0	320
3K	TPE	SIN		0	320
3L	DUS	FDH		0	DH3
3L	FDH	DUS		0	DH3
3L	FDH	FMO		0	DH3
3L	FDH	GRZ		0	DH3
3L	FDH	HAM		0	DH3
3L	FDH	TXL		0	DH3
3L	FDH	VIE		0	DH3
3L	FMO	FDH		0	DH3
3L	GRZ	FDH		0	DH3
3L	HAM	FDH		0	DH3
3L	TXL	FDH		0	DH3
3L	VIE	FDH		0	DH3
3M	DUJ	FKL		0	BE1
3O	ALY	CMN		0	320
3O	AMS	CMN		0	320
3O	AMS	NDR		0	320
3O	AMS	TNG		0	320
3O	BCN	CMN		0	320
3O	BGY	CMN		0	320
3O	BLQ	CMN		0	320
3O	CDG	FEZ		0	320
3O	CDG	NDR		0	320
3O	CDG	OUD		0	320
3O	CDG	TNG		0	320
3O	CGN	FEZ		0	320
3O	CGN	NDR		0	320
3O	CMN	ALY		0	320
3O	CMN	AMS		0	320
3O	CMN	BCN		0	320
3O	CMN	BGY		0	320
3O	CMN	BLQ		0	320
3O	CMN	FEZ		0	320
3O	CMN	LYS		0	320
3O	CMN	MPL		0	320
3O	CMN	NDR		0	320
3O	CMN	OUD		0	320
3O	CMN	SAW		0	320
3O	CMN	TNG		0	320
3O	CMN	TSF		0	320
3O	CMN	TUN		0	320
3O	FEZ	CDG		0	320
3O	FEZ	CGN		0	320
3O	FEZ	MPL		0	320
3O	LYS	CMN		0	320
3O	MPL	CMN		0	320
3O	MPL	FEZ		0	320
3O	NDR	AMS		0	320
3O	NDR	CDG		0	320
3O	NDR	CGN		0	320
3O	OUD	CDG		0	320
3O	SAW	CMN		0	320
3O	TNG	AMS		0	320
3O	TNG	CDG		0	320
3O	TSF	CMN		0	320
3O	TUN	CMN		0	320
3P	AUA	BON		0	SH6
3P	AUA	CUR		0	SH6
3P	AUA	LSP		0	SH6
3P	AUA	MAR		0	SH6
3P	AUA	RCH		0	SH6
3P	BON	AUA		0	SH6
3P	CUR	AUA		0	SH6
3P	LSP	AUA		0	SH6
3P	MAR	AUA		0	SH6
3P	RCH	AUA		0	SH6
3R	AZN	DME		0	738
3R	BHK	DME		0	73W
3R	DME	AZN		0	738
3R	DME	BHK		0	73W
3R	DME	FEG		0	73W
3R	DME	KSQ		0	738
3R	DME	KVD		0	73W
3R	DME	NMA		0	73W
3R	DME	NVI		0	73G
3R	DME	SKD		0	73W
3R	DME	TIV		0	73G
3R	DME	TMJ		0	738
3R	FEG	DME		0	73W
3R	KSQ	DME		0	738
3R	KVD	DME		0	73W
3R	NMA	DME		0	73W
3R	NVI	DME		0	73G
3R	SKD	DME		0	73W
3R	TIV	DME		0	73G
3R	TMJ	DME		0	738
3S	FDF	JBQ		0	AT5
3S	FDF	PTP		0	AT5
3S	FDF	PTP	*	0	AT5
3S	FDF	SLU		0	AT5
3S	JBQ	PTP		0	AT5
3S	PTP	FDF		0	AT5
3S	PTP	JBQ		0	AT5
3S	PTP	SBH		0	DHT
3S	PTP	SFG		0	AT5
3S	SBH	PTP		0	DHT
3S	SBH	SFG		0	DHT
3S	SFG	PTP		0	AT5
3S	SFG	SBH		0	DHT
3S	SLU	FDF		0	AT5
3T	GYD	MRV		0	TU5
3T	GYD	SGC		0	TU5
3T	GYD	SVX		0	TU5
3T	MRV	GYD		0	TU5
3T	SGC	GYD		0	TU5
3T	SVX	GYD		0	TU5
3U	BHY	HKG		0	320
3U	CAN	CKG		0	320
3U	CAN	CTU		0	320
3U	CGO	CGQ		0	319
3U	CGO	CKG		0	ERJ
3U	CGO	CTU		0	319
3U	CGO	HRB		0	319
3U	CGO	KMG		0	319
3U	CGO	SJW		0	ERJ
3U	CGQ	CGO		0	319
3U	CGQ	TNA		0	320
3U	CGQ	TSN		0	ERJ
3U	CKG	CAN		0	320
3U	CKG	CGO		0	ERJ
3U	CKG	CSX		0	320
3U	CKG	CTU		0	ERJ
3U	CKG	DLC		0	319
3U	CKG	HAK		0	320
3U	CKG	HGH		0	320
3U	CKG	INC		0	320
3U	CKG	JIQ		0	ERJ
3U	CKG	KHN		0	320
3U	CKG	KMG		0	320 319
3U	CKG	LJG		0	319
3U	CKG	LXA		0	319
3U	CKG	NGB		0	320
3U	CKG	NKG		0	320
3U	CKG	NNG		0	ERJ
3U	CKG	PEK		0	320 319
3U	CKG	PVG		0	320
3U	CKG	SJW		0	ERJ
3U	CKG	SYX		0	320
3U	CKG	SZX		0	320
3U	CKG	TCZ		0	319
3U	CKG	TNA		0	320
3U	CKG	TSA		0	320
3U	CKG	TSN		0	ERJ
3U	CKG	URC		0	320
3U	CKG	WNZ		0	320
3U	CKG	WUH		0	319
3U	CKG	XIY		0	320 ERJ
3U	CKG	XNN		0	320
3U	CKG	XUZ		0	ERJ
3U	CKG	YIH		0	320
3U	CSX	CKG		0	320
3U	CSX	CTU		0	320
3U	CSX	FOC		0	320
3U	CSX	HAK		0	319
3U	CSX	XIY		0	319
3U	CSX	XMN		0	320
3U	CTU	CAN		0	320
3U	CTU	CGO		0	319
3U	CTU	CKG		0	ERJ
3U	CTU	CSX		0	320
3U	CTU	DIG		0	319
3U	CTU	HAK		0	321
3U	CTU	HET		0	320
3U	CTU	HFE		0	320
3U	CTU	HGH		0	319 320
3U	CTU	HKG		0	320
3U	CTU	HKT		0	321
3U	CTU	INC		0	320
3U	CTU	JZH		0	319
3U	CTU	KHN		0	320
3U	CTU	KMG		0	319 320
3U	CTU	KWE		0	320
3U	CTU	KWL		0	319
3U	CTU	LHW		0	319
3U	CTU	LJG		0	319
3U	CTU	LXA		0	319
3U	CTU	LYI		0	320
3U	CTU	MLE		0	330
3U	CTU	NKG		0	320
3U	CTU	NNG		0	321
3U	CTU	PEK		0	320 321
3U	CTU	PVG		0	320 321
3U	CTU	PZI		0	319
3U	CTU	SHE		0	319
3U	CTU	SJW		0	319
3U	CTU	SYX		0	320
3U	CTU	SZX		0	320 319
3U	CTU	TAO		0	320
3U	CTU	TCZ		0	319
3U	CTU	TNA		0	320
3U	CTU	TSA		0	321
3U	CTU	TSN		0	320
3U	CTU	TYN		0	320
3U	CTU	URC		0	319
3U	CTU	WNZ		0	320
3U	CTU	WUH		0	320
3U	CTU	WUX		0	320
3U	CTU	XIC		0	320
3U	CTU	XIY		0	320 319
3U	CTU	XMN		0	320
3U	CTU	XNN		0	320
3U	CTU	XUZ		0	319
3U	CTU	YIH		0	319
3U	DIG	CTU		0	319
3U	DLC	CKG		0	319
3U	DLC	TNA		0	320
3U	DLC	XUZ		0	319
3U	DSN	SJW		0	ERJ
